Date,Open,High,Low,Close,Adj Close,Volume
2022-01-04,4957.98,4961.45,4874.53,4917.77,4917.77,151534776
2022-01-05,4907.93,4916.28,4851.98,4868.12,4868.12,178816100
2022-01-06,4842.16,4857.56,4786.43,4818.23,4818.23,157665825
2022-01-07,4824.32,4856.65,4818.19,4822.37,4822.37,187139412
2022-01-10,4812.23,4844.39,4780.82,4844.05,4844.05,156211697
2022-01-11,4840.01,4850.88,4791.89,4797.77,4797.77,146928005
2022-01-12,4818.89,4852.73,4810.92,4845.58,4845.58,143200205
2022-01-13,4853.03,4853.06,4765.24,4765.92,4765.92,142519652
2022-01-14,4743.91,4764.05,4723.94,4726.73,4726.73,146863127
2022-01-17,4728.76,4775.24,4726.71,4767.28,4767.28,115295690
2022-01-18,4766.78,4826.3,4747.92,4813.35,4813.35,150870802
2022-01-19,4815.81,4828.75,4755.93,4780.38,4780.38,133927360
2022-01-20,4778.26,4845.0,4777.57,4823.51,4823.51,164971315
2022-01-21,4808.77,4818.31,4762.56,4779.31,4779.31,138952586
2022-01-24,4753.94,4801.1,4746.45,4786.74,4786.74,114463880
2022-01-25,4761.95,4781.39,4678.25,4678.45,4678.45,133667587
2022-01-26,4697.1,4718.99,4648.13,4712.31,4712.31,107070843
2022-01-27,4708.1,4708.44,4616.03,4619.88,4619.88,121263803
2022-01-28,4641.81,4660.52,4559.83,4563.77,4563.77,126480113
2022-02-07,4638.58,4672.65,4615.01,4634.09,4634.09,144849720
2022-02-08,4626.44,4626.44,4522.47,4608.77,4608.77,155830707
2022-02-09,4608.15,4659.46,4595.28,4652.06,4652.06,148335547
2022-02-10,4657.21,4657.21,4608.09,4639.86,4639.86,151576666
2022-02-11,4617.87,4662.6,4595.88,4601.4,4601.4,155974584
2022-02-14,4579.42,4593.63,4530.06,4551.69,4551.69,143673894
2022-02-15,4553.81,4601.45,4550.54,4600.1,4600.1,115025600
2022-02-16,4619.85,4643.1,4607.22,4617.99,4617.99,107258954
2022-02-17,4616.9,4650.16,4606.95,4629.16,4629.16,110014643
2022-02-18,4604.57,4651.34,4598.1,4651.24,4651.24,104550228
2022-02-21,4646.05,4646.67,4613.3,4634.31,4634.31,112516513
2022-02-22,4601.92,4602.07,4550.8,4574.15,4574.15,123317238
